entity,value,synonyms
GC,Decrey Christophe,Christophe Decrey
GC,Deluermoz Cosima,Cosima Deluermoz
GC,Desfayes Sébastien,Sebastien Desfayes
GC,Dulex Christophe,Christophe Dulex
GC,Dupont Thérèse,Therese Dupont
GC,Engelberts Marie-Thérèse,Marie-Therese Engelberts:Marie-Therese Engelberts-Leone
GC,Fischer Daniel,Daniel Fischer
GC,Forni Jean-Luc,Jean-Luc Forni
GC,Fournier Nicolas,Nicolas Fournier
GC,Frischknecht Catherine,Catherine Frischknecht
GC,Gache Hélène,Helene Gache
GC,Gashi Sami,Sami Gashi
GC,Giannasi Anthony,Anthony Giannasi
GC,Giannelli Mark,Mark Giannelli
GC,Gioria Gaëlle,Gaelle Gioria
GC,Guinchard Jean-Marc,Jean-Marc Guinchard
GC,De Kalbermatten Alain,Alain De Kalbermatten
GC,Khattabi Hassar Houda,Houda Khattabi Hassar
GC,Kunz Laurence,Laurence Kunz
GC,Lance François,François Lance
GC,Lathion Jean Charles,Jean Charles Lathion
GC,Lehner Laurent,Laurent Lehner
GC,Lupo Paolo,Paolo Lupo
GC,Magnin Xavier,Xavier Magnin
GC,Magnin Yves,Yves Magnin
GC,Maitre Vincent,Vincent Maitre
GC,Makki Michela,Michela Makki:Michele Makki
GC,Meissner Reyfer Christine,Christine Meissner Reyfer:Christina Meissner Reyfer
GC,Merle Emmanuelle,Emmanuelle Merle
GC,Mettan Guy,Guy Mettan
GC,Meyer De Stadelhofen Philippe,Philippe Meyer De Stadelhofen
GC,Mondoux Alexandre,Alexandre Mondoux
GC,Moroni Catherine,Catherine Moroni
GC,Neuder Isabelle,Isabelle Neuder
GC,Ouedraogo Moustapha,Moustapha Ouedraogo
GC,Perret Vincent,Vincent Perret
GC,Pfeiffer Alex,Alex Pfeiffer
GC,Progin Christian,Christian Progin
GC,Putallaz Thomas,Thomas Putallaz
GC,Rasolo Daniel,Daniel Rasolo
GC,Ruchet Philippe,Philippe Ruchet
GC,Rys Alexandra,Alexandra Rys
GC,Saudan Guy,Guy Saudan
GC,Sayegh Souheil,Souheil Sayegh
GC,Scandurra Alessandro,Alessandro Scandurra
GC,Schmied Patrick,Patrick Schmied
GC,Schrag Sylvianne,Sylvianne Schrag
GC,Simoes Jose,Jose Simoes
GC,Sopi Dardan,Dardan Sopi
GC,Squillaci Nicola,Nicola Squillaci
GC,Steinberg Candrian Melinda,Melinda Steinberg Candrian
GC,Tomassi Christine,Christine Tomassi
GC,Tremblet Laurent,Laurent Tremblet
GC,Uong Dinh Manh,Dinh Manh Uong
GC,Völki Robert,Robert Volki
GC,Vuarnoz Emanuela,Emanuela Vuarnoz:Emanuelle Vuarnoz
GC,Wehrli Patrick,Patrick Wehrli
GC,Zimmermann Luc,Luc Zimmermann
GC,Zimmermann Bertrand,Bertrand Zimmermann
GC,Nidegger Yves,Yves Nidegger
GC,Bläsi Thomas,Thomas Blasi
GC,Florey Stéphane,Stephane Florey
GC,Leyvraz Eric,Eric Leyvraz
GC,Fuhrmann Marc,Marc Fuhrmann
GC,Lussi Patrick,Patrick Lussi
GC,Ivanov Christo,Christo Ivanov
GC,Falquet Marc,Marc Falquet
GC,Maendly Norbert,Norbert Maendly
GC,Pfeffer André,Andre Pfeffer
GC,Catelain Gilbert,Gilbert Catelain
GC,Hulliger Patrick,Patrick Hulliger
GC,Michaud Eliane,Eliane Michaud:Eliane Ansermet
GC,Scherb Peter,Peter Scherb:Pierre Scherb
GC,Stark Riccardo,Riccardo Stark:Richard Stark
GC,Guinchard Damien,Damien Guinchard
GC,Bisol Walter,Walter Bisol
GC,Masé Zora,Zora Mase
GC,Velen François,François Velen
GC,Knörr Stephen,Stephen Knorr
GC,Rubeli Pascal,Pascal Rubeli
GC,Lyon Didier,Didier Lyon
GC,Perrenoud Philippe,Philippe Perrenoud
GC,Dutruit André,Andre Dutruit
GC,Altenbach Pascal,Pascal Altenbach
GC,Queffélec Philippe,Philippe Queffelec
GC,Laporte Claude,Claude Laporte
GC,Conti Virna,Virna Conti
GC,Parel Loïc,Loic Parel
GC,Heddi Leila,Leila Heddi
GC,Gomes De Almeida José,Jose Gomes De Almeida:Manuel Gomes De Almeida
GC,Bertinat Marie-Agnès,Marie-Agnes Bertinat
GC,Mounla Alexandre,Alexandre Mounla
GC,Dournow David,David Dournow
GC,Chaussivert Patrice,Patrice Chaussivert
GC,Knoll Tatiana,Tatiana Knoll
GC,Rime Alexandre,Alexandre Rime
GC,Desyatkina Dzodziev Viktoriya,Viktoriya Desyatkina Dzodziev
GC,Thomas Sébastien,Sebastien Thomas
GC,Romanens Mathieu,Mathieu Romanens
GC,Schweizer Adriana,Adriana Schweizer
GC,Khachatryan Gohar,Gohar Khachatryan
GC,Prando Stéphane,Stephane Prando
GC,Borer Maria Da Conceicao,Maria Da Conceicao Borer
GC,Akaba El Mostafa,El Mostafa Akaba
GC,Léguillon Angèle,Angele Leguillon
GC,Bontoux Caroline,Caroline Bontoux
GC,Honegger Heller Manuela,Manuela Honegger Heller
GC,Ocharan Robles Rapaz Eva,Eva Ocharan Robles Rapaz:Eva Ocharan Robles
GC,Da Cruz Pedro Anna,Anna Da Cruz Pedro:Anna Da Cruz Perret-Gentil
GC,Borcard Anne,Anne Borcard
GC,Müller Fabienne,Fabienne Muller:Fabienne Abramovich
GC,Yol Diana,Diana Yol
GC,Randegger Alice,Alice Randegger
GC,Depraetere Graciela,Graciela Depraetere:Graciela Depraetere-Manulis
GC,Ozdemir Elcim,Elcim Ozdemir:Elcim ÖzdemirElçim OzdemirElçim Özdemir
GC,Ricciardi Werlen Jacqueline,Jacqueline Ricciardi Werlen
GC,Rossier Fahrion Cerise,Cerise Rossier Fahrion
GC,Boselli Gauthey Monica,Monica Boselli Gauthey
GC,Lavrador Dias Claudia,Claudia Lavrador Dias:Claudia Dias
GC,Jauch Caroline,Caroline Jauch
GC,Grange Marie-Florence,Marie-Florence Grange
GC,Mazzoni Nikita,Nikita Mazzoni
GC,Langer Valérie,Valerie Langer
GC,Mayoral Edo Corinne,Corinne Mayoral Edo:Corinne Mayoral
GC,Thomias Leduc Diana,Diana Thomias Leduc
GC,Orsini Magali,Magali Orsini
GC,Gauthier Pierre,Pierre Gauthier
GC,Armand Catherine,Catherine Armand
GC,Guex Stéphane,Stephane Guex:dit Guex-Pierre Guex
GC,Humberset Corinne,Corinne Humberset
GC,Ruckterstuhl Jean-Claude,Jean-Claude Ruckterstuhl
GC,Longo Katrin,Katrin Longo
GC,Girod Nicolas,Nicolas Girod
GC,Küderli Berkane Nicole,Nicole Kuderli Berkane
GC,Flaks Joël,Joel Flaks
GC,Perrin Brigitte,Brigitte Perrin
GC,Goudal Renaud,Renaud Goudal
GC,Meynet Danielle,Danielle Meynet
GC,Meynet Leon,Leon Meynet
GC,Turnowsky Serge,Serge Turnowsky
GC,Zimmermann Olivier,Olivier Zimmermann
GC,Chatelain Dimitri,Dimitri Chatelain
GC,Stauffer Eric,Eric Stauffer
GC,Zacharias Ronald,Ronald Zacharias
GC,Saraiva Medeiros Carlos,Carlos Saraiva Medeiros
GC,Spühler Pascal,Pascal Spuhler
GC,Gaetanino Marco,Marco Gaetanino
GC,Le Jeune Giacobbi Cristina,Cristina Le Jeune Giacobbi
GC,Walther Thierry,Thierry Walther
GC,Hüssy Coppex Viviana Ximena Anghela,Viviana Ximena Anghela Hussy Coppex
