entity,value,synonyms
Candidate,Ruckterstuhl Jean-Claude,Jean-Claude Ruckterstuhl
Candidate,Longo Katrin,Katrin Longo
Candidate,Girod Nicolas,Nicolas Girod
Candidate,Küderli Berkane Nicole,Nicole Kuderli Berkane
Candidate,Flaks Joël,Joel Flaks
Candidate,Perrin Brigitte,Brigitte Perrin
Candidate,Goudal Renaud,Renaud Goudal
Candidate,Meynet Danielle,Danielle Meynet
Candidate,Meynet Leon,Leon Meynet
Candidate,Turnowsky Serge,Serge Turnowsky
Candidate,Zimmermann Olivier,Olivier Zimmermann
Candidate,Chatelain Dimitri,Dimitri Chatelain
Candidate,Stauffer Eric,Eric Stauffer
Candidate,Zacharias Ronald,Ronald Zacharias
Candidate,Saraiva Medeiros Carlos,Carlos Saraiva Medeiros
Candidate,Spühler Pascal,Pascal Spuhler
Candidate,Gaetanino Marco,Marco Gaetanino
Candidate,Le Jeune Giacobbi Cristina,Cristina Le Jeune Giacobbi
Candidate,Walther Thierry,Thierry Walther
Candidate,Hüssy Coppex Viviana Ximena Anghela,Viviana Ximena Anghela Hussy Coppex
Candidate,Loeillet-Rouzier Anne,Anne Loeillet-Rouzier:Marie Loeillet-Rouzier
Candidate,Fusco Gerardo,Gerardo Fusco
Candidate,Gamberoni Dominique,Dominique Gamberoni
Candidate,Nobs Cyril,Cyril Nobs
Candidate,Noël Daniel,Daniel Noel
Candidate,Santi Michel,Michel Santi
Candidate,Picot Jérôme,Jerome Picot
Candidate,Ruchonnet Jean-François,Jean-François Ruchonnet
Candidate,Galetto Frédéric,Frederic Galetto
Candidate,Beck Victoria,Victoria Beck
Candidate,Antoine Jean-Marc,Jean-Marc Antoine
Candidate,Rime Fatma,Fatma Rime:Fatima Rime
Candidate,L'Huillier Eric,Eric L'Huillier
Candidate,Paraná Júnior Valério,Valerio Paraná Júnior
Candidate,Lota Raphaëlle,Raphaelle Lota
Candidate,Thomsen Elena,Elena Thomsen:Elena Milakova
Candidate,Ballesteros Stefan,Stefan Ballesteros
Candidate,Fabre Jean,Jean Fabre
Candidate,Nguyen Van Minh,Van Minh Nguyen
Candidate,Martel Frédéric,Frederic Martel
Candidate,Frey Priscilla,Priscilla Frey
Candidate,Brkic Vitomir,Vitomir Brkic
Candidate,Levy Yossef,Yossef Levy:Hai Levy
Candidate,Bissoli Marion,Marion Bissoli:Marion Le Bacquer
Candidate,Cohen Olivier,Olivier Cohen
Candidate,Bruguier Michel,Michel Bruguier
Candidate,Solteiro Jorge,Jorge Solteiro
Candidate,Halimi Arsim,Arsim Halimi
Candidate,Berlemont Alain,Alain Berlemont
Candidate,Gargantini Yves,Yves Gargantini
Candidate,Maigre Maria Inès,Maria Ines Maigre
Candidate,Farinha Horacio,Horacio Farinha
Candidate,Vidonne Thierry,Thierry Vidonne
Candidate,Leitner André,Andre Leitner
Candidate,Delacquis Cédric,Cedric Delacquis
Candidate,Zagato Sophie,Sophie Zagato
Candidate,Vidonne Valérie,Valerie Vidonne
Candidate,Ferrand Guy,Guy Ferrand
Candidate,Kunzi Nicolas,Nicolas Kunzi
Candidate,Kugel Mark,Mark Kugel
Candidate,Thurnherr Laurent,Laurent Thurnherr
Candidate,Vidonne David,David Vidonne
